Fecha,Resultado,Federal,U de G,Privado,Rapidas,
10/09/2020,Sospechosos,"2,754",311,Na,Na,
11/09/2020,Confirmados,"22,843","9,877","17,044","8,970",
11/09/2020,Descartados,"32,682","25,521","37,081","37,543",
11/09/2020,Sospechosos,"2,649",331,Na,Na,
12/09/2020,Confirmados,"22,997","10,041","17,407","9,028",
12/09/2020,Descartados,"32,844","25,824","37,794","37,639",
12/09/2020,Sospechosos,"2,775",189,Na,Na,
13/09/2020,Confirmados,"23,221","10,041","17,647","9,034",
13/09/2020,Descartados,"33,044","25,824","38,010","37,647",
13/09/2020,Sospechosos,"2,512",189,Na,Na,
14/09/2020,Confirmados,"23,346","10,047","18,036","9,080",
14/09/2020,Descartados,"33,172","25,833","38,655","37,743",
14/09/2020,Sospechosos,"2,443",188,Na,Na,
15/09/2020,Confirmados,"23,565","10,149","18,346","9,145",
15/09/2020,Descartados,"33,353","25,974","39,215","37,856",
15/09/2020,Sospechosos,"2,681",306,Na,Na,
16/09/2020,Confirmados,"23,743","10,251","18,648","9,163",
16/09/2020,Descartados,"33,477","26,275","39,934","37,901",
16/09/2020,Sospechosos,"2,806",204,Na,Na,
17/09/2020,Confirmados,"23,919","10,260","18,937","9,204",
17/09/2020,Descartados,"33,676","26,309","40,482","37,990",
17/09/2020,Sospechosos,"2,645",204,Na,Na,
18/09/2020,Confirmados,"24,139","10,322","19,186","9,295",
18/09/2020,Descartados,"33,879","26,401","40,838","38,208",
18/09/2020,Sospechosos,"2,882",344,Na,Na,
19/09/2020,Confirmados,"24,400","10,468","19,410","9,301",
19/09/2020,Descartados,"34,130","26,704","41,187","38,216",
19/09/2020,Sospechosos,"2,836",271,Na,Na,
20/09/2020,Confirmados,"24,643","10,468","19,807","9,302",
20/09/2020,Descartados,"34,368","26,704","41,928","38,217",
20/09/2020,Sospechosos,"2,556",271,Na,Na,
21/09/2020,Confirmados,"24,752","10,467","20,190","9,369",
21/09/2020,Descartados,"34,480","26,704","42,731","38,347",
21/09/2020,Sospechosos,"2,532",271,Na,Na,
22/09/2020,Confirmados,"24,953","10,615","20,447","9,418",
22/09/2020,Descartados,"34,675","26,898","43,195","38,502",
22/09/2020,Sospechosos,"2,822",379,Na,Na,
23/09/2020,Confirmados,"25,183","10,692","20,769","9,451",
23/09/2020,Descartados,"34,872","27,079","43,705","38,627",
23/09/2020,Sospechosos,"3,097",370,Na,Na,
24/09/2020,Confirmados,"25,485","10,844","20,897","9,503",
24/09/2020,Descartados,"35,177","27,324","44,057","38,731",
24/09/2020,Sospechosos,"3,115",324,Na,Na,
25/09/2020,Confirmados,"25,730","10,953","21,167","9,549",
25/09/2020,Descartados,"35,376","27,434","44,666","38,859",
25/09/2020,Sospechosos,"3,316",381,Na,Na,
26/09/2020,Confirmados,"26,090","11,078","21,359","9,567",
26/09/2020,Descartados,"35,694","27,717","45,001","38,896",
